R1,R1_ERROR,U_CD-1,U_CD-1_ERROR,U_CD-2,U_CD-2_ERROR,U_AD-1,U_AD-1_ERROR,U_AD-2,U_AD-2_ERROR,R2,R2_ERROR,U_BD_0-1,U_BD_0-1_ERROR,U_BD_0-2,U_BD_0-2_ERROR,U_BD_B-1,U_BD_B-1_ERROR,U_BD_B-2,U_BD_B-2_ERROR
107.939,0.001,25.660,0.001,-25.68,0.001,11.577,0.001,-11.59,0.001,107.94,0.001,14.04,0.001,-14.054,0.001,3.363,0.001,-3.381,0.001
106.839,0.001,25.300,0.001,-25.20,0.001,11.342,0.001,-11.30,0.001,105.04,0.001,13.60,0.001,-13.37,0.001,2.78,0.001,-2.76,0.001
102.340,0.001,24.300,0.001,-24.28,0.001,10.97,0.001,-10.92,0.001,101.11,0.001,13.10,0.001,-12.909,0.001,2.266,0.001,-2.264,0.001
98.809,0.001,23.530,0.001,-23.51,0.001,10.63,0.001,-10.98,0.001,97.57,0.001,12.66,0.001,-12.525,0.001,1.834,0.001,-1.836,0.001
95.613,0.001,22.800,0.001,-22.78,0.001,10.31,0.001,-10.26,0.001,94.40,0.001,12.28,0.001,-12.105,0.001,1.367,0.001,-1.37,0.001
92.100,0.001,22.050,0.001,-22.04,0.001,9.98,0.001,-9.93,0.001,90.95,0.001,11.85,0.001,-11.77,0.001,1.017,0.001,-1.016,0.001
89.552,0.001,21.490,0.001,-21.46,0.001,9.74,0.001,-9.68,0.001,88.42,0.001,11.56,0.001,-11.313,0.001,0.685,0.001,-0.691,0.001
85.520,0.001,20.570,0.001,-20.56,0.001,9.33,0.001,-9.26,0.001,83.88,0.001,11.00,0.001,-10.905,0.001,0.09,0.001,-0.088,0.001
82.231,0.001,19.920,0.001,-19.90,0.001,9.05,0.001,-8.98,0.001,81.03,0.001,10.68,0.001,-10.536,0.001,-0.25,0.001,0.245,0.001
79.852,0.001,19.250,0.001,-19.25,0.001,8.75,0.001,-8.68,0.001,77.71,0.001,10.30,0.001,-10.17,0.001,-0.646,0.001,0.696,0.001
75.881,0.001,18.620,0.001,-18.62,0.001,8.46,0.001,-8.40,0.001,74.34,0.001,9.91,0.001,-9.82,0.001,-1.08,0.001,1.086,0.001
72.511,0.001,17.900,0.001,-17.89,0.001,8.15,0.001,-8.08,0.001,71.11,0.001,9.57,0.001,-9.481,0.001,-1.486,0.001,1.482,0.001
69.399,0.001,17.340,0.001,-17.32,0.001,7.88,0.001,-7.82,0.001,68.17,0.001,9.20,0.001,-9.105,0.001,-1.84,0.001,1.903,0.001
66.202,0.001,16.730,0.001,-16.71,0.001,7.58,0.001,-7.52,0.001,64.81,0.001,8.91,0.001,-8.819,0.001,-2.2,0.001,2.252,0.001
63.181,0.001,16.170,0.001,-16.76,0.001,7.35,0.001,-7.30,0.001,62.13,0.001,8.65,0.001,-8.576,0.001,-2.531,0.001,2.543,0.001
60.569,0.001,15.700,0.001,-15.68,0.001,7.15,0.001,-7.02,0.001,58.76,0.001,8.32,0.001,-8.264,0.001,-2.88,0.001,2.932,0.001
57.242,0.001,15.150,0.001,-15.13,0.001,6.90,0.001,-6.83,0.001,56.14,0.001,8.08,0.001,-7.969,0.001,-3.281,0.001,3.291,0.001
54.214,0.001,14.640,0.001,-14.61,0.001,6.66,0.001,-6.61,0.001,52.88,0.001,7.79,0.001,-7.622,0.001,-3.739,0.001,3.761,0.001
49.840,0.001,13.990,0.001,-13.97,0.001,6.39,0.001,-6.33,0.001,48.42,0.001,7.44,0.001,-7.381,0.001,-4.106,0.001,4.114,0.001
47.005,0.001,13.630,0.001,-13.60,0.001,6.23,0.001,-6.18,0.001,45.75,0.001,7.26,0.001,-7.204,0.001,-4.388,0.001,4.413,0.001
44.277,0.001,13.33,0.001,-13.31,0.001,6.11,0.001,-6.05,0.001,43.08,0.001,7.09,0.001,-7.028,0.001,-4.741,0.001,4.748,0.001
40.445,0.001,12.97,0.005,-12.97,0.005,5.96,0.005,-5.90,0.005,39.55,0.001,6.93,0.005,-6.928,0.005,-5.029,0.005,5.027,0.005
38.327,0.001,12.82,0.005,-12.83,0.005,5.90,0.005,-5.85,0.005,37.62,0.001,6.86,0.005,-6.202,0.005,-5.202,0.005,5.206,0.005
36.773,0.001,11.07,0.005,-14.90,0.005,5.67,0.005,-5.81,0.005,35.60,0.001,6.81,0.005,-6.818,0.005,-5.37,0.005,5.4,0.005
34.370,0.001,12.64,0.005,-12.65,0.005,5.83,0.005,-5.77,0.005,33.67,0.001,6.01,0.005,-4.689,0.005,-7.084,0.005,5.778,0.005
32.275,0.001,13.61,0.005,-10.12,0.005,-3.55,0.005,-12.90,0.005,30.81,0.001,9.14,0.005,-4.215,0.005,-3.405,0.005,8.34,0.005
29.551,0.001,11.31,0.005,-13.63,0.005,9.19,0.005,-2.42,0.005,28.25,0.001,8.94,0.005,-8.001,0.005,-7.207,0.005,4.806,0.005
26.700,0.001,11.43,0.005,-14.61,0.005,6.48,0.005,-6.51,0.005,25.64,0.001,6.90,0.005,-7.774,0.005,-6.226,0.005,6.172,0.005
23.715,0.001,15.84,0.005,-4.41,0.005,6.94,0.005,-15.43,0.005,22.64,0.001,10.11,0.005,-2.43,0.005,-1.07,0.005,4.689,0.005
21.107,0.001,13.72,0.005,-13.05,0.005,2.32,0.005,-9.41,0.005,20.09,0.001,5.51,0.005,-6.238,0.005,-5.404,0.005,6.355,0.005
18.802,0.001,16.60,0.005,7.72,0.005,4.46,0.005,-1.82,0.005,17.27,0.001,-3.24,0.005,0.416,0.005,-1.115,0.005,-1.382,0.005
15.426,0.001,0.62,0.005,-0.94,0.005,-4.66,0.005,-6.68,0.005,14.48,0.001,-5.38,0.005,-7.218,0.005,-4.424,0.005,-12.183,0.005
13.247,0.001,15.42,0.005,-5.58,0.005,5.62,0.005,-2.73,0.005,11.46,0.001,4.11,0.005,-15.921,0.005,-1.5,0.005,-3.183,0.005
